query,status,error
breathable linen shirt for summer under $60,0,timed out
"smart-casual office look for women, neutral colors",0,timed out
"gym set, no logos",0,timed out
"rainy day commute, waterproof boots",0,timed out
winter layering warm coat,0,timed out
neutral palette sneakers,0,timed out
festival outfit under $150,0,timed out
men's casual weekend denim,0,timed out
white summer dress under $100,0,timed out
black cotton t-shirt,0,timed out
travel backpack under $80,0,timed out
rain jacket women under $120,0,timed out
